step,context,action,reward1,reward2,alpha
0,[-43780.1    -1220.479],[0.27748844],1.272357549291753,28.2863421531052,
1,[-38609.887  24590.318],[0.33428177],0.2159024394126628,0.8469887160382723,
2,[-36791.547  17698.22 ],[0.28195363],0.17654290966885186,0.546998046919304,
3,[22927.361 44555.215],[0.10715988],0.3943530955500253,2.2822020722177654,
4,[-6799.9287 46574.316 ],[0.2754308],0.24202506385229233,1.022342688658514,
5,[-42317.383  18216.455],[0.31758344],0.3066589932792994,1.6906789168396288,
6,[-19802.986  34214.945],[0.27925852],0.12560606731921292,0.2765612253557752,
7,[-50708.094  47737.508],[0.6365594],0.563465847416234,6.6686602315425825,
8,[-33062.945  19112.91 ],[0.26851004],0.26876759955511714,1.2542006104892351,
9,[-50427.867   7717.232],[0.3034057],0.22748671162937914,0.9204099953645212,
10,[-10978.222  35666.016],[0.23744355],0.29397639484387705,1.463116245753085,
11,[-42491.586  29872.094],[0.39428514],0.29551688676271415,1.6463717750143905,
12,[-46937.695 -30944.287],[0.07888049],0.34090578933757637,1.62836848767319,
13,[-35436.992  30317.941],[0.350102],0.32090729418144415,1.8882824757159284,
14,[-40098.508  41948.973],[0.46730542],0.2832676796669023,1.570999473899058,
15,[-37031.598  15185.281],[0.2687729],0.25544912084217347,1.1326426477792275,
16,[-31424.123  45401.664],[0.42664394],0.23102250791418064,1.0238735621007204,
17,[-17982.992  49250.098],[0.3597502],0.30186396273945637,1.6831787381579073,
18,[-49909.28    6940.825],[0.2956482],0.26180491432132075,1.2130123745685855,
19,[-37139.094  25517.389],[0.33090022],0.2108986749256046,0.8077168844247469,
20,[-5911.4146  6175.093 ],[0.05938727],0.28025097033303786,1.0587098111524622,
21,[-32104.78     5247.8076],[0.18737572],0.3206729605249192,1.6625364810508352,
22,[-46651.633    1414.5311],[0.24542871],0.23619045737200015,0.9506849176065444,
23,[-21602.1    13727.301],[0.17671932],0.33865825772051183,1.832596993595064,
24,[-31226.31   46716.246],[0.43491104],0.26913343515851995,1.3974522880268956,
25,[-42650.61   32245.229],[0.41235262],0.26830671866634226,1.3700895476596457,
26,[-45793.64   37170.254],[0.47534263],0.16596304074456006,0.5421589787637251,
27,[-50429.055  35518.395],[0.50105965],0.281569801774739,1.5778891889904143,
28,[-24945.574  13422.612],[0.19284569],0.2672983831824008,1.1610493194267812,
29,[15958.026 30790.465],[0.07320976],0.40488596032574503,2.271226797678469,
30,[-36555.453  15819.451],[0.26974323],0.2113689425042715,0.77518669849079,
31,[-28914.344  22827.436],[0.26593667],0.304880688335615,1.6091070676771224,
32,[-10474.835   7614.341],[0.08919016],0.18079860419727745,0.466446237185368,
33,[-24068.074  32771.074],[0.29519954],0.3564325276262981,2.248054448585907,
34,[-27951.85    7640.371],[0.17808135],0.3423610887081058,1.8759046590356123,
35,[-28772.777  29397.654],[0.30321938],0.3336151106032843,1.9814907958455683,
36,[-8004.7188 42847.965 ],[0.26120967],0.21841767359361702,0.8228146884987674,
37,[-43345.54  38479.1 ],[0.465692],0.23699272661249476,1.098733302548225,
38,[-45624.945  12956.477],[0.30572823],0.3226947582828854,1.85701429775921,
39,[-26561.033  46041.96 ],[0.39593405],0.29887217526880666,1.6855386050845704,
40,[-14498.519  10954.129],[0.1260119],0.337846003034687,1.7213748788749537,
41,[-8139.211  6145.455],[0.07032899],0.2579538031871163,0.9172549907468535,
42,[-22262.152  20121.338],[0.21410483],0.33752041929166376,1.8881680958371891,
43,[-16716.045  46797.09 ],[0.336299],0.1625887155824956,0.48121504204109844,
44,[-42424.88   24802.701],[0.35951713],0.3363174809224035,2.0894474778883807,
45,[-10284.167  41521.414],[0.26652193],0.1818400925600523,0.5729189050299951,
46,[-15482.758  11582.343],[0.13466921],0.385330387470923,2.261207162133595,
47,[18017.834 31114.031],[0.06457406],0.39605977633457473,2.1363341946575054,
48,[-38388.8     9409.367],[0.24350378],0.3740142200399687,2.378169728443284,
49,[-29702.744  41608.195],[0.38702276],0.2945173486479494,1.6284253510371909,
50,[ 1830.5397 45924.67  ],[0.22346058],0.30484707043646175,1.5510935595240625,
51,[-35657.844   9668.988],[0.23009768],0.3307456218027225,1.841564753725199,
52,[-47589.605  44217.145],[0.56060195],0.027160028626790136,0.015229537681522522,
53,[-23106.867  21735.914],[0.22752334],0.30952853990890494,1.607076998270077,
54,[-17784.562  44180.465],[0.32662678],0.20338394751572614,0.7468079623229804,
55,[-27147.506  29030.176],[0.29153335],0.3110894751044449,1.7092273119490906,
56,[-48116.547  20723.963],[0.37042502],0.27938563960267243,1.4486665666685985,
57,[-33521.6    29056.742],[0.33038813],0.22731074516001723,0.9362229154506704,
58,[-17169.65   36576.355],[0.27743977],0.2966054843470449,1.5358183065661568,
59,[-24857.4    13660.372],[0.19363375],0.269515666207888,1.182355289624669,
60,[-42919.73   23702.617],[0.3556644],0.32455258987985713,1.9396447524281388,
61,[-32508.664  36901.01 ],[0.37404355],0.3150000006688852,1.849494552646197,
62,[-5501.153   5381.0376],[0.05356631],0.3570581736559951,1.6960585848261311,
63,[-32980.93   14412.288],[0.24141262],0.3430083461716185,1.9988571112780027,
64,[-37609.953 -13271.668],[0.12041777],0.3180675038074689,1.5123846378681924,
65,[-14840.124  16778.236],[0.15729079],0.3952052063231163,2.445807720690344,
