step,context,action,reward1,reward2,alpha
0,[17787.293 35893.9  ],[0.27224493],2.0921357440412494,76.18428403169968,
1,[-25579.607  27046.838],[0.27075312],0.35695192479172383,2.214924482312473,
2,[-7313.5776 28025.752 ],[0.1762169],0.4557122399842932,3.3188750985091993,
3,[-15501.322  34266.258],[0.2543808],0.3894823550368113,2.60407574410382,
4,[-42623.42   14758.524],[0.29856214],0.32777662749801695,1.9070826604731927,
5,[ 3060.2214 50018.215 ],[0.23912555],0.31096017392391834,1.6388833262807498,
6,[-7599.6577  7458.6475],[0.07363012],0.5095334972131483,3.597456997029468,
7,[-35025.676  13748.972],[0.24881653],0.3922349307627813,2.6281964353766987,
8,[-37000.8     8719.201],[0.23275125],0.2992415876901237,1.507643650433209,
9,[-43876.64   11205.548],[0.28555992],0.2522278377046232,1.117235602564108,
10,[-35657.21  -24004.701],[0.0575031],0.44352860746187284,2.6386297453277607,
11,[-48026.285  16379.298],[0.34123018],0.36454175115182286,2.425106233099294,
12,[-22129.822    1766.6554],[0.11883657],0.45648257557281774,3.107375172420358,
13,[-37018.812  33477.9  ],[0.38112983],0.34791964946812987,2.2666951877451584,
14,[-17501.111  24000.371],[0.209939],0.3360622638412034,1.8658690337733062,
15,[ 5534.2524 31599.086 ],[0.12826861],0.5264161462709026,4.186071612939387,
16,[-5696.1387 17130.844 ],[0.11296014],0.2370003461788512,0.8310270488866395,
17,[-16137.631    7107.5815],[0.11524298],0.36743901720292815,2.002388183736434,
18,[-19316.29   24643.377],[0.22323588],0.3347550839506661,1.8734836631497118,
19,[-42406.996  24314.184],[0.3565347],0.2754685427335647,1.3980130437613143,
20,[-10785.044  31089.113],[0.21099654],0.41391093749078994,2.83306425968759,
21,[-1059.8406 25036.104 ],[0.12861285],0.5001459783109693,3.7817132040247885,
22,[-19809.898  42873.15 ],[0.3304288],0.3678171475447477,2.4542868551434323,
23,[-47820.145 -20552.406],[0.13514131],0.3683719222970998,2.068559030777574,
24,[-29582.229  12277.03 ],[0.21122988],0.35252821231833714,2.055147726346199,
25,[-25857.623  28870.797],[0.28337812],0.12334520820580179,0.26755312195447833,
26,[ 3182.2046 48304.566 ],[0.22919321],0.24077333830848385,0.9738991327803892,
27,[-30179.086  49681.797],[0.44949895],0.31094433333849414,1.8760897762181123,
28,[-17773.09   20380.402],[0.19100964],0.4466200380189131,3.237449379317925,
29,[-29360.18   13032.637],[0.21429491],0.28764297294075886,1.3727326749732025,
30,[-41558.383  19845.799],[0.3230042],0.28026589097425797,1.416394619114618,
31,[-25173.807   8249.633],[0.16693363],0.2740225303360544,1.1877795361150478,
32,[-41181.812  48655.543],[0.53713983],0.3908921660040898,3.0884728095793026,
33,[-35692.79     5922.5737],[0.20939563],0.44412802395533196,3.258480019971624,
34,[-46347.543  48580.426],[0.5892899],0.5270808630750272,5.732149700175784,
35,[-37109.31   21407.783],[0.30551997],0.2759164979791832,1.358340115735005,
36,[-44670.     37088.746],[0.46430632],0.3543047266966133,2.4543773992847178,
37,[-17653.975  25591.35 ],[0.21925926],0.3038389703812271,1.5389427287419823,
38,[-16451.48   38607.875],[0.28540167],0.23900034722335772,1.003018349219979,
39,[-8364.547 34856.92 ],[0.2183398],0.3984930276396838,2.6438621002517166,
40,[-44789.887  20556.928],[0.34732],0.3480529201648486,2.223511796801403,
41,[ -870.43646 18802.25   ],[0.09614974],0.5582078503978587,4.4929991816760575,
42,[-22369.191  43410.2  ],[0.34999758],0.3599808129050603,2.3773344650428037,
43,[-37065.72   32246.164],[0.37319258],0.3447755203379726,2.2131299216875555,
44,[-2886.937 30241.197],[0.16492431],0.42770606477805173,2.887190334981847,
45,[-16575.363  49273.684],[0.35060295],0.33766078011145007,2.0940175123949634,
46,[-23085.455  20453.547],[0.22082856],0.2944805570407289,1.4452611595802265,
47,[-9209.49   6628.924],[0.07809936],0.33223037932735017,1.5447752831650983,
48,[-19985.033  11363.822],[0.15635295],0.24002653005123262,0.9010402107337122,
49,[-32303.57  48255.08],[0.45483357],0.333747594451338,2.168509006198006,
50,[-38830.5    14860.206],[0.27703828],0.31930157772455386,1.7809400318209958,
51,[-39439.76    7499.812],[0.23925152],0.15448579604037221,0.4056145057547193,
52,[-5815.397 12397.517],[0.08949818],0.43281181935768465,2.6720541746911977,
53,[-41655.71    8997.091],[0.25945148],0.37434137986885957,2.415315776858703,
54,[-47123.383 -14183.029],[0.16517411],0.44153526524139,3.0776706232360156,
55,[-7426.9478 29304.455 ],[0.18354793],0.44617845210714,3.2059972829225964,
56,[-41777.06    8959.237],[0.25994253],0.3709897220804459,2.3725796531496792,
57,[-19201.594  14676.326],[0.16890892],0.4073269806258082,2.628042831622553,
58,[-46571.223  12513.377],[0.3085593],0.35622054893694394,2.266069547706359,
59,[ 7371.5605 31845.172 ],[0.12064803],0.46526525621181214,3.236647714827515,
60,[-8089.266  9046.998],[0.08472516],0.42229010327746563,2.5220219423829975,
61,[-41122.984   8591.829],[0.25419962],0.37090495166103843,2.3602034748349885,
62,[-39983.66   45881.703],[0.49910575],0.38422601503976256,2.9345957456247724,
63,[-20074.139  20881.896],[0.20692773],0.3084701536067267,1.5669169023189748,
64,[-47974.95  31813.03],[0.44798842],0.39471273703600535,3.022251198420597,
65,[-36706.355  28483.838],[0.34640655],0.3355893271041037,2.063684654495839,
66,[-46788.484  44491.29 ],[0.5531409],0.35454238962401047,2.558283972832117,
67,[-28643.08     5881.6543],[0.17253265],0.33553950058782783,1.7924029264813328,
68,[ 4698.79  44325.152],[0.1988805],0.433934916688611,3.079358186886039,
