step,context,action,reward1,reward2,alpha
0,[-12914.073  12336.606],[0.23231222],1.6865785546744714,47.927227468369416,
1,[-14530.913  10452.12 ],[0.12516306],0.5726046216457484,4.93447159977311,
2,[ 4830.4   20167.715],[0.07649183],0.5983248084540961,4.993486443526553,
3,[-49090.06   27295.006],[0.42507285],0.40630229097878184,3.1621786217973162,
4,[-24900.055  32281.424],[0.29929775],0.4610166614886378,3.772021838620569,
5,[-31578.47  44266.58],[0.42116225],0.412377878283227,3.254000304806974,
6,[-5352.4375 27702.287 ],[0.1658486],0.4544219673638175,3.2613632282999925,
7,[-41482.62  -30800.205],[0.05247694],0.23712633197787883,0.7467790513286316,
8,[-29439.795  15755.595],[0.23053014],0.4312715059717982,3.1267236116828045,
9,[-6498.4893 24435.89  ],[0.15504381],0.48480453590349076,3.6683905714402223,
10,[ 7473.261 22924.105],[0.07700014],0.5886111459069496,4.836805630683897,
11,[-48280.555  23718.955],[0.3935504],0.4097716901597215,3.1662264924314254,
12,[-20027.547  35044.82 ],[0.2871078],0.4820815205870795,4.08886219997739,
13,[-18183.621  37190.906],[0.2886443],0.46451780161530776,3.8022068804861364,
14,[-3571.5889 33815.285 ],[0.18885982],0.48547335546982534,3.814128785833508,
15,[-12371.354   9453.765],[0.10908709],0.575187552084944,4.866475293244586,
16,[-34302.62  25597.64],[0.31527877],0.4279664989426036,3.28977923936131,
17,[-37292.805  21644.969],[0.30948883],0.43221902423080827,3.344793161495277,
18,[-44054.574 -15662.328],[0.1417526],0.4550215413729633,3.1825840919894914,
19,[-36966.586  47701.734],[0.4923676],0.41774636917482527,3.4582490257951872,
20,[-1763.7134 13908.35  ],[0.07813846],0.5929178843720607,4.916207497570595,
21,[-40951.29   34816.383],[0.42038566],0.3986504785382351,3.038451863880504,
22,[-38289.883  26568.342],[0.34615505],0.42414507143074043,3.2941957486271587,
23,[-34377.414    -595.2954],[0.16971597],0.4649205052708761,3.4305080213005192,
24,[-17671.66   32869.895],[0.2604799],0.4425237112756784,3.3759845613495014,
25,[-10845.713  19305.113],[0.15105185],0.493239368409572,3.7792782975716173,
26,[-36112.9    28877.332],[0.3473639],0.4503649190186188,3.7173313184321386,
27,[-42604.86  -12345.282],[0.15107375],0.3952166978102416,2.4279784027395985,
28,[ 2431.9521 30977.96  ],[0.14280814],0.49722492355358255,3.8049680420522893,
29,[-28294.074  21624.318],[0.2572535],0.47081011366515485,3.8131272824700213,
30,[-17327.914  41688.105],[0.31032896],0.4614326456639861,3.808324537321717,
31,[-20771.307  14826.498],[0.17958298],0.5055379867298367,4.096402886088039,
32,[-21577.701    3945.4238],[0.12781261],0.5603097898776533,4.740520781434976,
33,[-17125.357  36352.55 ],[0.27750406],0.4591691546070458,3.6839662563049376,
34,[-25820.238  34158.94 ],[0.31582743],0.43386938423881655,3.380589016565555,
35,[-13736.004  39434.3  ],[0.27565446],0.453237366039629,3.5850408331876777,
36,[-35730.203  15202.372],[0.26279983],0.4518074264477752,3.527801269973624,
37,[-14900.003  24508.15 ],[0.19943483],0.4633582127688827,3.5125397990168326,
38,[-16922.582   -3935.4373],[0.06395141],0.32965658191107927,1.4789285833998753,
39,[-23745.533  33216.215],[0.29806262],0.4664621840671205,3.8594549657237067,
40,[-23179.395  36921.97 ],[0.31639317],0.4178379881915956,3.138498889486001,
41,[-12344.573  10065.011],[0.111895],0.5551941215196126,4.553001370943599,
42,[-15461.517      808.46466],[0.08085095],0.5431859046469724,4.148035604004195,
43,[-44340.914  45152.555],[0.5385499],0.41701122843465027,3.5177866349154625,
44,[-8077.86  18970.375],[0.13529184],0.5208244706820402,4.133365809273461,
45,[-14340.196  15089.951],[0.14751524],0.5167675138624497,4.132708481686624,
46,[-45239.96    -3257.5874],[0.21322477],0.45676194374852264,3.457834517824113,
47,[-24554.217  29289.03 ],[0.27971837],0.46657279549456016,3.8128723822545845,
48,[-33638.35  24452.7 ],[0.30438793],0.43237514027734136,3.329735811030087,
49,[-6356.813 12740.833],[0.09482242],0.4991843990349079,3.584947374977068,
50,[-15364.598  21596.438],[0.18653388],0.47743420976478645,3.6831524300648737,
51,[-30611.168  11336.209],[0.21317585],0.47247076798157117,3.6962311537631547,
52,[-28734.312  41409.062],[0.3811878],0.4382303268266216,3.5910439004102312,
53,[-28685.363   6006.182],[0.17472598],0.4959139829445766,3.923874791269755,
54,[-43236.13   24886.326],[0.3675063],0.4314489563085895,3.454177980436418,
55,[17938.383 39501.848],[0.10793797],0.5959055168354521,5.2134843372857915,
56,[-32444.035  40505.08 ],[0.40033346],0.4184601094597728,3.308795255863996,
57,[-45269.71  -33079.215],[0.06008147],0.39303337711129155,2.0845041358023595,
58,[ 1035.2528 50911.61  ],[0.25638196],0.4038326331639047,2.802817212728625,
59,[-25789.514  31250.842],[0.29840726],0.45704732112298807,3.7083531406748156,
60,[-22234.965  41304.92 ],[0.33805454],0.4445698653245956,3.6027865900891083,
61,[-6082.0864 42368.05  ],[0.24898696],0.47158666626848794,3.7999959002971972,
62,[-43704.816  16886.85 ],[0.319606],0.43658505802821596,3.4312135965451813,
63,[-20732.588  13933.289],[0.17464119],0.5016594193403301,4.012281449336399,
64,[-43295.332  34739.844],[0.43762434],0.410525129228896,3.2543859818267027,
65,[-29010.3   24393.06],[0.27708787],0.46046066775892347,3.7039006369998284,
66,[-44782.297  45124.57 ],[0.5428339],0.41556186951381985,3.4979881656865457,
67,[-50303.125  12148.892],[0.33076212],0.40604566947617776,2.9909506500473575,
68,[-43575.418 -14814.672],[0.14354816],0.43649595108221134,2.936344834491946,
69,[-29255.742   6447.817],[0.18006968],0.4980078642923998,3.9771628220527555,
70,[17408.021 45002.39 ],[0.13838373],0.5538159922452571,4.693892942095443,
71,[-48793.348  24280.6  ],[0.40081245],0.38845625689858726,2.8543239524189157,
72,[-7069.703 50444.668],[0.30105218],0.44239649081439636,3.479617042221286,
73,[-36612.047    6967.5747],[0.22170033],0.43254929430746136,3.1249418478898403,
74,[-47802.586  42033.727],[0.54231006],0.4234557164335676,3.631270669683988,
75,[-28061.318  45379.617],[0.4034528],0.3917245133264773,2.9057824016942257,
76,[-44466.855  20189.629],[0.3448657],0.42402964404987525,3.2903156526807007,
77,[-30859.746  26827.146],[0.30209476],0.44324053867353386,3.496759995986221,
78,[-41108.28   24846.531],[0.3533674],0.4358999707880304,3.4971954283697144,
79,[-10260.497   8146.445],[0.09141518],0.512079518438683,3.7530834313604933,
80,[-14697.295  28840.96 ],[0.2219141],0.4812439317315904,3.866158165840663,
81,[-40071.105  46869.227],[0.5124998],0.38265366804443657,2.928940587958407,
82,[-38612.887  12068.339],[0.26126853],0.44202614397567586,3.3713126450786706,
83,[-6548.3955 26208.781 ],[0.16431998],0.45748737805152645,3.302041620942583,
84,[-26810.627  45209.39 ],[0.394167],0.44073398140863723,3.6594521329628953,
85,[-44513.656  13416.475],[0.30360788],0.44807899573903637,3.5733313269963394,
86,[-29432.855   5149.69 ],[0.17411281],0.4912860367384192,3.8474529557364088,
87,[-21793.953  17425.8  ],[0.19811504],0.4199718883901468,2.8816008204757844,
88,[-19471.496  40119.61 ],[0.3135687],0.4423561121461256,3.51048269166097,
89,[-36256.793  38735.117],[0.414698],0.3984004260535356,3.0254740831100233,
90,[-45652.273  17084.639],[0.33272883],0.42295632889042045,3.249084142721718,
91,[-9159.085  5692.968],[0.07387643],0.5682785013803455,4.4787803513423095,
92,[10912.617 38019.45 ],[0.13592847],0.5594084957565054,4.772763487597357,
93,[ 1128.8853 43238.953 ],[0.21443547],0.5078730850373911,4.275219034009453,
94,[-19616.914  11160.414],[0.15414858],0.4729624306037223,3.488625610717003,
95,[-16774.654  18841.244],[0.1797541],0.5130417809589454,4.222272386807883,
96,[-5106.348 46885.42 ],[0.26889527],0.45562585674387623,3.6056535058746615,
97,[-17608.783  32367.59 ],[0.25731102],0.44569625241374894,3.4199357610869208,
98,[-10667.737  42594.15 ],[0.2761729],0.45238493909578315,3.570938699054409,
